host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,1,Jamaica Plain,42.30935659,-71.1168273,House,Private room,2,1,1,1,Real Bed,15,1,20,1,14,600,93,flexible
1,1,Jamaica Plain,42.30398456,-71.10449361,Apartment,Private room,2,1,1,1,Real Bed,19,1,0,2,57,680,99,moderate
0,1,Jamaica Plain,42.31632876,-71.09909642,House,Private room,2,1,1,1,Real Bed,14,1,0,2,58,719,97,flexible
1,1,Jamaica Plain,42.32002252,-71.1059405,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,1,1,0,100,flexible
1,1,Jamaica Plain,42.31451961,-71.10558689,Apartment,Private room,4,1,1,2,Real Bed,17,2,20,2,46,438,97,moderate
1,0,Jamaica Plain,42.32171967,-71.10345882,Apartment,Private room,1,1,1,1,Real Bed,0,1,0,3,68,463,96,moderate
0,1,Jamaica Plain,42.3167906,-71.11563043,House,Private room,1,1,1,1,Real Bed,13,1,0,2,0,0,,flexible
0,1,Jamaica Plain,42.31951,-71.1053766,Apartment,Private room,2,1,1,1,Real Bed,9,1,0,2,3,25,73,flexible
0,0,Jamaica Plain,42.31527457,-71.11331606,Townhouse,Private room,2,1,1,1,Real Bed,22,1,0,1,4,112,100,flexible
0,0,Jamaica Plain,42.31549953,-71.11706562,House,Private room,2,1,1,1,Real Bed,8,1,25,1,2,11,90,strict
0,1,Jamaica Plain,42.31690481,-71.10519471,Apartment,Private room,1,1,1,1,Real Bed,12,1,0,1,7,353,94,strict
0,1,Jamaica Plain,42.31189729,-71.10315398,House,Private room,2,1,1,1,Real Bed,17,2,25,2,18,362,82,strict
0,1,Jamaica Plain,42.31706413,-71.10358572,Apartment,Private room,3,1,1,1,Real Bed,17,1,0,2,0,0,,strict
0,0,Jamaica Plain,42.30510763,-71.10643297,Apartment,Private room,2,1.5,1,1,Real Bed,9,2,50,3,9,770,98,moderate
0,1,Jamaica Plain,42.31590728,-71.11327328,Condominium,Private room,2,1.5,1,1,Real Bed,9,1,12,2,0,0,,flexible
0,1,Jamaica Plain,42.31265282,-71.0997234,Apartment,Private room,2,1,1,1,Real Bed,13,1,15,2,4,192,100,moderate
0,1,Jamaica Plain,42.31530071,-71.09976783,House,Private room,2,2,1,1,Real Bed,13,1,0,1,19,397,99,moderate
0,0,Jamaica Plain,42.31319703,-71.11832362,Apartment,Private room,1,1,1,1,Real Bed,14,1,20,2,22,1772,99,strict
1,1,Jamaica Plain,42.31421512,-71.10940661,Apartment,Private room,2,2,1,1,Real Bed,18,1,20,1,17,1110,96,strict
0,1,Jamaica Plain,42.31256676,-71.12607999,House,Private room,2,3.5,1,2,Real Bed,13,1,25,2,1,0,100,flexible
0,1,Jamaica Plain,42.31678462,-71.10731719,Apartment,Private room,1,1,1,1,Pull-out Sofa,13,1,0,1,7,109,93,flexible
0,0,Jamaica Plain,42.31362611,-71.10819525,Condominium,Private room,2,1,1,1,Real Bed,14,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.30370465,-71.11397057,Condominium,Private room,2,1,1,1,Real Bed,21,1,0,1,7,236,97,moderate
0,1,Jamaica Plain,42.30334666,-71.10497372,House,Private room,4,1,1,2,Real Bed,16,2,50,1,132,1496,97,strict
0,0,Jamaica Plain,42.29106052,-71.11593555,Apartment,Private room,2,1,1,1,Real Bed,8,1,0,1,14,1192,88,flexible
0,1,Jamaica Plain,42.29763812,-71.11399252,Apartment,Private room,1,1,1,1,Real Bed,10,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.30537679,-71.11324413,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,2,12,85,98,flexible
0,1,Jamaica Plain,42.31449927,-71.11223192,House,Private room,2,1,1,1,Real Bed,0,1,0,1,3,598,100,flexible
0,0,Jamaica Plain,42.31738707,-71.10003066,House,Private room,3,1,1,2,Real Bed,7,1,25,1,43,648,91,flexible
0,1,Jamaica Plain,42.32423675,-71.10812405,House,Private room,1,1,1,1,Real Bed,4,1,0,7,1,0,20,flexible
0,1,Jamaica Plain,42.32219838,-71.10629671,Apartment,Private room,2,1,1,1,Real Bed,16,1,0,1,0,0,,moderate
0,0,Jamaica Plain,42.32284647,-71.10517195,Apartment,Private room,1,1,1,1,Real Bed,6,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.31803897,-71.11687373,House,Private room,1,1,1,1,Real Bed,13,1,0,4,20,685,98,strict
0,1,Jamaica Plain,42.3140648,-71.09905546,House,Private room,2,2.5,1,1,Real Bed,12,1,0,1,9,194,93,flexible
0,1,Jamaica Plain,42.32487447,-71.10556705,Apartment,Entire home/apt,3,1,1,1,Real Bed,11,1,0,7,17,837,95,flexible
0,1,Jamaica Plain,42.31362383,-71.09821201,House,Private room,2,2.5,1,1,Real Bed,12,1,0,1,17,133,92,flexible
0,1,Jamaica Plain,42.32157794,-71.11411533,Apartment,Entire home/apt,2,1,1,1,Futon,13,1,0,1,5,98,92,flexible
0,1,Jamaica Plain,42.32267989,-71.11561972,Condominium,Entire home/apt,4,1,2,4,Real Bed,8,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.30633269,-71.1190246,Apartment,Private room,2,1,1,1,Real Bed,14,1,10,2,53,1200,95,flexible
