host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
0,0,Jamaica Plain,42.30248683,-71.11331373,Apartment,Entire home/apt,3,1,1,1,Real Bed,12,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.31867699,-71.10033307,House,Entire home/apt,10,2.5,5,5,Real Bed,17,4,25,5,3,363,87,strict
0,1,Jamaica Plain,42.31227026,-71.10086091,House,Entire home/apt,5,1.5,2,3,Real Bed,11,1,0,1,0,0,,flexible
0,1,Jamaica Plain,42.32527017,-71.10701089,Apartment,Entire home/apt,6,1,2,4,Real Bed,24,1,0,2,23,107,89,moderate
0,0,Jamaica Plain,42.31026209,-71.1125744,House,Private room,2,1,1,1,Real Bed,17,2,50,2,2,48,80,flexible
0,1,Jamaica Plain,42.31856881,-71.11415408,Apartment,Entire home/apt,6,2,2,2,Real Bed,14,1,0,3,108,1420,95,strict
0,1,Jamaica Plain,42.31012524,-71.1028772,Apartment,Entire home/apt,4,1,2,2,Real Bed,14,2,35,2,5,373,95,flexible
0,1,Jamaica Plain,42.30639602,-71.10593529,Apartment,Entire home/apt,4,1,2,2,Real Bed,12,1,0,1,1,0,80,flexible
0,0,Jamaica Plain,42.31097645,-71.10416186,Apartment,Entire home/apt,7,1.5,3,4,Real Bed,21,4,30,2,0,0,,moderate
0,1,Jamaica Plain,42.31686602,-71.10254447,Apartment,Entire home/apt,4,1,2,2,Real Bed,22,4,20,3,8,1103,100,strict
0,1,Jamaica Plain,42.32473174,-71.10791788,House,Entire home/apt,4,2,2,2,Real Bed,9,1,0,7,2,366,100,flexible
0,0,Jamaica Plain,42.31308412,-71.10511678,Apartment,Entire home/apt,4,1,2,2,Real Bed,17,1,0,1,13,111,94,moderate
1,1,Jamaica Plain,42.29715508,-71.11190356,Condominium,Entire home/apt,10,2,5,6,Real Bed,21,6,20,3,20,465,94,strict
0,0,Jamaica Plain,42.32436434,-71.10262149,Apartment,Entire home/apt,4,1,2,2,Real Bed,14,1,0,1,16,398,93,strict
0,1,Jamaica Plain,42.30881608,-71.1139284,House,Entire home/apt,6,2,4,5,Real Bed,14,1,0,30,0,0,,flexible
0,0,Jamaica Plain,42.31190937,-71.10675529,Apartment,Entire home/apt,2,1,1,2,Real Bed,10,2,20,2,10,122,98,flexible
